"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades","331","Wenatchee River","Wenatchee R.","1.2","","Wenatchee River","1962","3055","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades","331","Wenatchee River","Wenatchee R.","1.2","","Wenatchee River","1963","3359","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades","331","Wenatchee River","Wenatchee R.","1.2","","Wenatchee River","1964","2758","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades","331","Wenatchee River","Wenatchee R.","1.2","","Wenatchee River","1965","2417","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades","331","Wenatchee River","Wenatchee R.","1.2","","Wenatchee River","1966","2648","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades","331","Wenatchee River","Wenatchee R.","1.2","","Wenatchee River","1967","468","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades","331","Wenatchee River","Wenatchee R.","1.2","","Wenatchee River","1968","1746","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades","331","Wenatchee River","Wenatchee R.","1.2","","Wenatchee River","1969","1250","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades","331","Wenatchee River","Wenatchee R.","1.2","","Wenatchee River","1970","495","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"ICUCsthdSurvey2020","Steelhead (Upper Columbia River DPS)","Steelhead","Survey","North Cascades","331","Wenatchee River","Wenatchee R.","1.2","","Wenatchee River","1971","1358","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Steelhead Natural Origin Spawner Abundance Dataset (1962-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
